ticker,window,from,to,id,name,pnl,returnPct,maxDrawdownPct,sharpe,trades
QQQ,Development,2016-01-01,2021-01-01,sma200,Price above SMA 200,91758.10155950213,91.75810155950214,22.438547272160402,0.8738177193233964,17
QQQ,Development,2016-01-01,2021-01-01,ema,EMA crossover,93547.28490905714,93.54728490905714,17.058551992136266,1.0786539551152101,16
QQQ,Development,2016-01-01,2021-01-01,macd,MACD signal crossover,47624.693486151344,47.624693486151344,19.4690945603298,0.7002123319430973,53
QQQ,Development,2016-01-01,2021-01-01,adx,ADX directional trend,12007.189469588528,12.007189469588528,11.68839767657749,0.406709228728805,7
QQQ,Development,2016-01-01,2021-01-01,ichimoku,Ichimoku conversion / base,82319.90882188946,82.31990882188946,17.536466021597626,0.9304787114292805,21
QQQ,Development,2016-01-01,2021-01-01,supertrend,Supertrend reversal,67248.760771903,67.24876077190301,19.587207270591126,0.9493919785367724,22
QQQ,Development,2016-01-01,2021-01-01,psar,Parabolic SAR reversal,51952.31926364137,51.95231926364137,15.621050035591027,0.7016706006397282,62
QQQ,Development,2016-01-01,2021-01-01,bb-breakout,Bollinger momentum breakout,18436.655187546305,18.436655187546304,14.026163474084164,0.4245314657961612,23
QQQ,Development,2016-01-01,2021-01-01,bb-reversion,Bollinger mean reversion,32179.10418241832,32.17910418241832,21.303150705156014,0.4513755068191357,20
QQQ,Development,2016-01-01,2021-01-01,connors,Connors RSI 4 pullback,7652.668043028505,7.6526680430285055,10.919313236127943,0.1969856847442665,39
QQQ,Development,2016-01-01,2021-01-01,stochastic,Stochastic oversold recovery,20100.713040771487,20.10071304077149,21.301195879251672,0.335166475365187,16
QQQ,Development,2016-01-01,2021-01-01,cci,CCI trend impulse,56608.592095688626,56.60859209568863,13.468626196007822,0.8783159236677469,35
QQQ,Development,2016-01-01,2021-01-01,williams,Williams R recovery,25790.416876136514,25.790416876136515,21.301195875053498,0.38035154948899147,29
QQQ,Development,2016-01-01,2021-01-01,roc,Rate-of-change momentum,63333.501485977584,63.333501485977585,17.55268796492826,0.7451706692235532,24
QQQ,Development,2016-01-01,2021-01-01,cmf,Chaikin money flow trend,60625.2266842972,60.6252266842972,19.169042417123507,0.8700339247176035,51
QQQ,Development,2016-01-01,2021-01-01,mfi,Money flow oversold,101255.67601210598,101.25567601210598,21.832483674049314,0.9021863275148494,7
QQQ,Development,2016-01-01,2021-01-01,keltner,Keltner channel breakout,-1090.933405842894,-1.0909334058428939,18.71518533431042,0.016860947500666097,27
QQQ,Development,2016-01-01,2021-01-01,aroon,Aroon trend switch,96982.86496928864,96.98286496928864,17.83121282864392,1.1780339777854802,20
QQQ,Development,2016-01-01,2021-01-01,tsi,True strength momentum,85984.81340459958,85.98481340459958,18.231970667718116,1.0137785127257377,16
QQQ,Development,2016-01-01,2021-01-01,ultimate,Ultimate oscillator recovery,40880.74788650847,40.88074788650847,21.34148843095243,0.5466051991428376,5
QQQ,Development,2016-01-01,2021-01-01,stochrsi,Stochastic RSI pullback,34866.59754209861,34.86659754209861,11.66562932766542,0.7680892595379144,37
QQQ,Development,2016-01-01,2021-01-01,buy-hold,Buy and hold (95%),188559.67579968914,188.55967579968913,27.904880598603853,1.1023498901460418,1
QQQ,Later sample,2021-01-01,2026-01-01,sma,SMA crossover,30272.115430058766,30.272115430058765,29.024157218682127,0.4507048369560616,12
QQQ,Later sample,2021-01-01,2026-01-01,rsi,RSI threshold,14447.72470738276,14.44772470738276,28.179940554490223,0.24900140269791615,4
QQQ,Later sample,2021-01-01,2026-01-01,donchian,Donchian breakout,47552.05602164456,47.55205602164456,15.18771753875227,0.7182887352239161,23
QQQ,Later sample,2021-01-01,2026-01-01,sma200,Price above SMA 200,93277.03494482965,93.27703494482965,20.928661160991663,0.9614294707161611,10
QQQ,Later sample,2021-01-01,2026-01-01,ema,EMA crossover,40732.5078166661,40.7325078166661,24.089123052148533,0.5773722318761789,19
QQQ,Later sample,2021-01-01,2026-01-01,macd,MACD signal crossover,10441.388797858104,10.441388797858105,24.227985980258463,0.21611724755877257,47
QQQ,Later sample,2021-01-01,2026-01-01,adx,ADX directional trend,10610.82455998371,10.61082455998371,5.582366234954502,0.4714624373321603,7
QQQ,Later sample,2021-01-01,2026-01-01,ichimoku,Ichimoku conversion / base,63559.33715858747,63.55933715858747,22.427309761920807,0.7800515034294252,20
QQQ,Later sample,2021-01-01,2026-01-01,supertrend,Supertrend reversal,51091.78781978437,51.091787819784365,15.20466527308363,0.7260516589870304,19
QQQ,Later sample,2021-01-01,2026-01-01,psar,Parabolic SAR reversal,2668.618904587609,2.668618904587609,37.89088349297547,0.10878707216777392,62
QQQ,Later sample,2021-01-01,2026-01-01,bb-breakout,Bollinger momentum breakout,12253.741341983172,12.253741341983172,9.470671768555885,0.299215165436337,23
QQQ,Later sample,2021-01-01,2026-01-01,bb-reversion,Bollinger mean reversion,10892.442980483,10.892442980483,15.157041064273796,0.21781689595608442,19
QQQ,Later sample,2021-01-01,2026-01-01,connors,Connors RSI 4 pullback,42888.77733563783,42.88877733563783,11.349774001845153,0.8386299838187926,42
